"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "PostCSS", "MySQL SQL", "comment", "blank", "total"
"d:\ITU\FinanSchool\FinanSchool\Backend\bootstrap\app.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 2, 3, 20
"d:\ITU\FinanSchool\FinanSchool\Backend\bootstrap\providers.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\ITU\FinanSchool\FinanSchool\Backend\composer.json", "JSON", 0, 0, 0, 78, 0, 0, 0, 0, 1, 79
"d:\ITU\FinanSchool\FinanSchool\Backend\composer.lock", "JSON", 0, 0, 0, 9460, 0, 0, 0, 0, 1, 9461
"d:\ITU\FinanSchool\FinanSchool\Backend\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 82, 23, 127
"d:\ITU\FinanSchool\FinanSchool\Backend\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 74, 14, 116
"d:\ITU\FinanSchool\FinanSchool\Backend\config\cache.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 34, 18, 109
"d:\ITU\FinanSchool\FinanSchool\Backend\config\cors.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 12, 12, 35
"d:\ITU\FinanSchool\FinanSchool\Backend\config\database.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 43, 23, 175
"d:\ITU\FinanSchool\FinanSchool\Backend\config\filesystems.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 32, 13, 81
"d:\ITU\FinanSchool\FinanSchool\Backend\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 33, 21, 133
"d:\ITU\FinanSchool\FinanSchool\Backend\config\mail.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 43, 19, 119
"d:\ITU\FinanSchool\FinanSchool\Backend\config\queue.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 44, 17, 113
"d:\ITU\FinanSchool\FinanSchool\Backend\config\reverb.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 30, 14, 96
"d:\ITU\FinanSchool\FinanSchool\Backend\config\sanctum.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 54, 14, 85
